Experiment,Condition,Technical replicate,Species,Value
1,Control,1,Kp,0
1,Control,2,Kp,0.2
1,Control,3,Kp,
1,Control,1,Pa,100
1,Control,2,Pa,99.8
1,Control,3,Pa,
3,Control,1,Kp,0.3
3,Control,2,Kp,0.2
3,Control,3,Kp,
3,Control,1,Pa,99.7
3,Control,2,Pa,99.8
3,Control,3,Pa,
2,Control,1,Kp,0
2,Control,2,Kp,0.1
2,Control,3,Kp,
2,Control,1,Pa,100
2,Control,2,Pa,99.9
2,Control,3,Pa,
1,Antibiotic,1,Kp,0.1
1,Antibiotic,2,Kp,0.1
1,Antibiotic,3,Kp,
1,Antibiotic,1,Pa,99.9
1,Antibiotic,2,Pa,99.9
1,Antibiotic,3,Pa,
3,Antibiotic,1,Kp,
3,Antibiotic,2,Kp,0.6
3,Antibiotic,3,Kp,
3,Antibiotic,1,Pa,
3,Antibiotic,2,Pa,99.4
3,Antibiotic,3,Pa,
2,Antibiotic,1,Kp,0.5
2,Antibiotic,2,Kp,0
2,Antibiotic,3,Kp,
2,Antibiotic,1,Pa,99.5
2,Antibiotic,2,Pa,100
2,Antibiotic,3,Pa,
