Experiment,Condition,Technical replicate,Species,Value
1,Control,1,Kp,86.1
1,Control,2,Kp,82.8
1,Control,3,Kp,
1,Control,1,Pa,13.9
1,Control,2,Pa,17.2
1,Control,3,Pa,
3,Control,1,Kp,68.7
3,Control,2,Kp,72.7
3,Control,3,Kp,
3,Control,1,Pa,31.3
3,Control,2,Pa,27.3
3,Control,3,Pa,
2,Control,1,Kp,75.1
2,Control,2,Kp,64.5
2,Control,3,Kp,
2,Control,1,Pa,32.9
2,Control,2,Pa,35.5
2,Control,3,Pa,
1,Antibiotic,1,Kp,0
1,Antibiotic,2,Kp,0
1,Antibiotic,3,Kp,
1,Antibiotic,1,Pa,100
1,Antibiotic,2,Pa,100
1,Antibiotic,3,Pa,
3,Antibiotic,1,Kp,0
3,Antibiotic,2,Kp,0
3,Antibiotic,3,Kp,
3,Antibiotic,1,Pa,100
3,Antibiotic,2,Pa,100
3,Antibiotic,3,Pa,
2,Antibiotic,1,Kp,0.5
2,Antibiotic,2,Kp,0
2,Antibiotic,3,Kp,
2,Antibiotic,1,Pa,99.5
2,Antibiotic,2,Pa,100
2,Antibiotic,3,Pa,
